Size,Iterations,Algorithm,Data Shape,Avg (ns),Avg (s),Std (ns),Min (ns),Max (ns),Status
20,100000,Shell Sort,Random Ints,4903.5,0.000004904,423.7,3625.0,21625.0,Success
20,100000,Heap Sort,Random Ints,1772.6,0.000001773,236.7,1583.0,40584.0,Success
20,100000,Merge Sort,Random Ints,12290.1,0.000012290,339.3,11542.0,38917.0,Success
20,100000,Quick Sort,Random Ints,12138.6,0.000012139,1070.4,8667.0,41333.0,Success
20,100000,Timsort (built-in),Random Ints,464.5,0.000000464,74.3,333.0,11333.0,Success
20,100000,Timsort (custom),Random Ints,5957.1,0.000005957,738.6,3084.0,25834.0,Success
20,100000,Radix Sort,Random Ints,6592.7,0.000006593,274.2,6250.0,23500.0,Success
20,100000,Counting Sort,Random Ints,11159.5,0.000011159,702.9,7542.0,37917.0,Success
20,100000,Shell Sort,Sorted Ints,2385.0,0.000002385,144.5,2208.0,19667.0,Success
20,100000,Heap Sort,Sorted Ints,1655.6,0.000001656,154.0,1583.0,24042.0,Success
20,100000,Merge Sort,Sorted Ints,10678.2,0.000010678,323.8,10250.0,31000.0,Success
20,100000,Quick Sort,Sorted Ints,12553.8,0.000012554,2010.4,9417.0,66333.0,Success
20,100000,Timsort (built-in),Sorted Ints,111.9,0.000000112,41.2,41.0,6000.0,Success
20,100000,Timsort (custom),Sorted Ints,1394.1,0.000001394,117.7,1250.0,11875.0,Success
20,100000,Radix Sort,Sorted Ints,4480.1,0.000004480,274.4,4250.0,29958.0,Success
20,100000,Counting Sort,Sorted Ints,2961.2,0.000002961,187.6,2750.0,17916.0,Success
20,100000,Shell Sort,Reverse Sorted,3974.2,0.000003974,199.1,3750.0,22000.0,Success
20,100000,Heap Sort,Reverse Sorted,1625.7,0.000001626,150.7,1541.0,14708.0,Success
20,100000,Merge Sort,Reverse Sorted,11210.3,0.000011210,342.5,10708.0,40500.0,Success
20,100000,Quick Sort,Reverse Sorted,12524.8,0.000012525,2058.4,9417.0,60417.0,Success
20,100000,Timsort (built-in),Reverse Sorted,115.7,0.000000116,46.5,41.0,6292.0,Success
20,100000,Timsort (custom),Reverse Sorted,10054.8,0.000010055,310.8,9583.0,27000.0,Success
20,100000,Radix Sort,Reverse Sorted,4503.8,0.000004504,260.5,4291.0,31292.0,Success
20,100000,Counting Sort,Reverse Sorted,2913.9,0.000002914,176.3,2750.0,21583.0,Success
20,100000,Shell Sort,Almost Sorted,3043.6,0.000003044,568.4,2291.0,20500.0,Success
20,100000,Heap Sort,Almost Sorted,1727.5,0.000001727,157.3,1583.0,19375.0,Success
20,100000,Merge Sort,Almost Sorted,11255.0,0.000011255,420.4,10417.0,32166.0,Success
20,100000,Quick Sort,Almost Sorted,12528.9,0.000012529,2138.4,9333.0,73917.0,Success
20,100000,Timsort (built-in),Almost Sorted,261.1,0.000000261,95.0,83.0,10250.0,Success
20,100000,Timsort (custom),Almost Sorted,2128.6,0.000002129,482.6,1333.0,15250.0,Success
20,100000,Radix Sort,Almost Sorted,4555.0,0.000004555,267.3,4334.0,26458.0,Success
20,100000,Counting Sort,Almost Sorted,3026.3,0.000003026,158.5,2833.0,18500.0,Success
20,100000,Shell Sort,Half Sorted,4224.8,0.000004225,400.1,2833.0,19458.0,Success
20,100000,Heap Sort,Half Sorted,1861.8,0.000001862,145.0,1708.0,22750.0,Success
20,100000,Merge Sort,Half Sorted,11829.8,0.000011830,323.9,11042.0,29042.0,Success
20,100000,Quick Sort,Half Sorted,10214.6,0.000010215,1133.9,6458.0,31917.0,Success
20,100000,Timsort (built-in),Half Sorted,324.3,0.000000324,43.2,250.0,8833.0,Success
20,100000,Timsort (custom),Half Sorted,3698.7,0.000003699,557.3,1833.0,35209.0,Success
20,100000,Radix Sort,Half Sorted,4767.1,0.000004767,406.5,3042.0,42000.0,Success
20,100000,Counting Sort,Half Sorted,3191.3,0.000003191,199.8,2500.0,18375.0,Success
20,100000,Shell Sort,Flat (Few Unique),4174.2,0.000004174,384.5,3041.0,23208.0,Success
20,100000,Heap Sort,Flat (Few Unique),1924.4,0.000001924,153.5,1750.0,17958.0,Success
20,100000,Merge Sort,Flat (Few Unique),12244.3,0.000012244,317.0,11375.0,28208.0,Success
20,100000,Quick Sort,Flat (Few Unique),5573.8,0.000005574,1942.0,2667.0,49708.0,Success
20,100000,Timsort (built-in),Flat (Few Unique),444.1,0.000000444,107.9,291.0,17917.0,Success
