Size,Iterations,Algorithm,Data Shape,Avg Time (s),Status
20,100000,Shell Sort,Random Ints,0.000004,Success
20,100000,Heap Sort,Random Ints,0.000001,Success
20,100000,Merge Sort,Random Ints,0.000009,Success
20,100000,Quick Sort,Random Ints,0.000009,Success
20,100000,Python Timsort,Random Ints,0.000001,Success
20,100000,Radix Sort,Random Ints,0.000006,Success
20,100000,Shell Sort,Sorted Ints,0.000002,Success
20,100000,Heap Sort,Sorted Ints,0.000001,Success
20,100000,Merge Sort,Sorted Ints,0.000008,Success
20,100000,Quick Sort,Sorted Ints,0.000009,Success
20,100000,Python Timsort,Sorted Ints,0.000000,Success
20,100000,Radix Sort,Sorted Ints,0.000004,Success
20,100000,Shell Sort,Reverse Sorted,0.000004,Success
20,100000,Heap Sort,Reverse Sorted,0.000001,Success
20,100000,Merge Sort,Reverse Sorted,0.000008,Success
20,100000,Quick Sort,Reverse Sorted,0.000009,Success
20,100000,Python Timsort,Reverse Sorted,0.000000,Success
20,100000,Radix Sort,Reverse Sorted,0.000004,Success
20,100000,Shell Sort,Almost Sorted,0.000003,Success
20,100000,Heap Sort,Almost Sorted,0.000001,Success
20,100000,Merge Sort,Almost Sorted,0.000008,Success
20,100000,Quick Sort,Almost Sorted,0.000009,Success
20,100000,Python Timsort,Almost Sorted,0.000000,Success
20,100000,Radix Sort,Almost Sorted,0.000004,Success
20,100000,Shell Sort,Half Sorted,0.000004,Success
20,100000,Heap Sort,Half Sorted,0.000002,Success
20,100000,Merge Sort,Half Sorted,0.000009,Success
20,100000,Quick Sort,Half Sorted,0.000008,Success
20,100000,Python Timsort,Half Sorted,0.000000,Success
20,100000,Radix Sort,Half Sorted,0.000004,Success
20,100000,Shell Sort,Flat (Few Unique),0.000004,Success
20,100000,Heap Sort,Flat (Few Unique),0.000002,Success
20,100000,Merge Sort,Flat (Few Unique),0.000009,Success
20,100000,Quick Sort,Flat (Few Unique),0.000004,Success
20,100000,Python Timsort,Flat (Few Unique),0.000000,Success
20,100000,Radix Sort,Flat (Few Unique),0.000003,Success
20,100000,Shell Sort,Floats,0.000005,Success
20,100000,Heap Sort,Floats,0.000001,Success
20,100000,Merge Sort,Floats,0.000009,Success
20,100000,Quick Sort,Floats,0.000010,Success
20,100000,Python Timsort,Floats,0.000000,Success
20,100000,Radix Sort,Floats,,Skipped — integers only
20,100000,Shell Sort,Strings,0.000005,Success
20,100000,Heap Sort,Strings,0.000002,Success
20,100000,Merge Sort,Strings,0.000010,Success
20,100000,Quick Sort,Strings,0.000011,Success
20,100000,Python Timsort,Strings,0.000001,Success
20,100000,Radix Sort,Strings,,Skipped — integers only
30,100000,Shell Sort,Random Ints,0.000008,Success
30,100000,Heap Sort,Random Ints,0.000003,Success
30,100000,Merge Sort,Random Ints,0.000015,Success
30,100000,Quick Sort,Random Ints,0.000015,Success
30,100000,Python Timsort,Random Ints,0.000001,Success
30,100000,Radix Sort,Random Ints,0.000008,Success
30,100000,Shell Sort,Sorted Ints,0.000004,Success
30,100000,Heap Sort,Sorted Ints,0.000002,Success
30,100000,Merge Sort,Sorted Ints,0.000013,Success
30,100000,Quick Sort,Sorted Ints,0.000015,Success
30,100000,Python Timsort,Sorted Ints,0.000000,Success
30,100000,Radix Sort,Sorted Ints,0.000005,Success
30,100000,Shell Sort,Reverse Sorted,0.000006,Success
30,100000,Heap Sort,Reverse Sorted,0.000002,Success
30,100000,Merge Sort,Reverse Sorted,0.000013,Success
30,100000,Quick Sort,Reverse Sorted,0.000015,Success
30,100000,Python Timsort,Reverse Sorted,0.000000,Success
30,100000,Radix Sort,Reverse Sorted,0.000005,Success
30,100000,Shell Sort,Almost Sorted,0.000004,Success
30,100000,Heap Sort,Almost Sorted,0.000002,Success
30,100000,Merge Sort,Almost Sorted,0.000013,Success
30,100000,Quick Sort,Almost Sorted,0.000015,Success
30,100000,Python Timsort,Almost Sorted,0.000000,Success
30,100000,Radix Sort,Almost Sorted,0.000005,Success
30,100000,Shell Sort,Half Sorted,0.000006,Success
30,100000,Heap Sort,Half Sorted,0.000002,Success
30,100000,Merge Sort,Half Sorted,0.000014,Success
30,100000,Quick Sort,Half Sorted,0.000012,Success
30,100000,Python Timsort,Half Sorted,0.000001,Success
30,100000,Radix Sort,Half Sorted,0.000005,Success
30,100000,Shell Sort,Flat (Few Unique),0.000006,Success
30,100000,Heap Sort,Flat (Few Unique),0.000002,Success
30,100000,Merge Sort,Flat (Few Unique),0.000014,Success
30,100000,Quick Sort,Flat (Few Unique),0.000005,Success
30,100000,Python Timsort,Flat (Few Unique),0.000001,Success
30,100000,Radix Sort,Flat (Few Unique),0.000003,Success
30,100000,Shell Sort,Floats,0.000007,Success
30,100000,Heap Sort,Floats,0.000002,Success
30,100000,Merge Sort,Floats,0.000015,Success
30,100000,Quick Sort,Floats,0.000016,Success
30,100000,Python Timsort,Floats,0.000001,Success
30,100000,Radix Sort,Floats,,Skipped — integers only
30,100000,Shell Sort,Strings,0.000008,Success
30,100000,Heap Sort,Strings,0.000003,Success
30,100000,Merge Sort,Strings,0.000016,Success
30,100000,Quick Sort,Strings,0.000017,Success
30,100000,Python Timsort,Strings,0.000001,Success
30,100000,Radix Sort,Strings,,Skipped — integers only
50,100000,Shell Sort,Random Ints,0.000017,Success
50,100000,Heap Sort,Random Ints,0.000005,Success
50,100000,Merge Sort,Random Ints,0.000030,Success
50,100000,Quick Sort,Random Ints,0.000028,Success
50,100000,Python Timsort,Random Ints,0.000002,Success
50,100000,Radix Sort,Random Ints,0.000013,Success
50,100000,Shell Sort,Sorted Ints,0.000007,Success
50,100000,Heap Sort,Sorted Ints,0.000004,Success
50,100000,Merge Sort,Sorted Ints,0.000023,Success
50,100000,Quick Sort,Sorted Ints,0.000026,Success
50,100000,Python Timsort,Sorted Ints,0.000000,Success
50,100000,Radix Sort,Sorted Ints,0.000007,Success
50,100000,Shell Sort,Reverse Sorted,0.000012,Success
50,100000,Heap Sort,Reverse Sorted,0.000003,Success
50,100000,Merge Sort,Reverse Sorted,0.000024,Success
50,100000,Quick Sort,Reverse Sorted,0.000026,Success
50,100000,Python Timsort,Reverse Sorted,0.000000,Success
50,100000,Radix Sort,Reverse Sorted,0.000007,Success
50,100000,Shell Sort,Almost Sorted,0.000009,Success
50,100000,Heap Sort,Almost Sorted,0.000004,Success
50,100000,Merge Sort,Almost Sorted,0.000024,Success
50,100000,Quick Sort,Almost Sorted,0.000027,Success
50,100000,Python Timsort,Almost Sorted,0.000001,Success
50,100000,Radix Sort,Almost Sorted,0.000007,Success
50,100000,Shell Sort,Half Sorted,0.000013,Success
50,100000,Heap Sort,Half Sorted,0.000004,Success
50,100000,Merge Sort,Half Sorted,0.000025,Success
50,100000,Quick Sort,Half Sorted,0.000023,Success
50,100000,Python Timsort,Half Sorted,0.000001,Success
50,100000,Radix Sort,Half Sorted,0.000007,Success
50,100000,Shell Sort,Flat (Few Unique),0.000011,Success
50,100000,Heap Sort,Flat (Few Unique),0.000004,Success
50,100000,Merge Sort,Flat (Few Unique),0.000026,Success
