Size,Iterations,Algorithm,Data Shape,Avg Time (s),Status
20,100000,Bubble Sort,Random Ints,0.000008,Success
20,100000,Selection Sort,Random Ints,0.000006,Success
20,100000,Insertion Sort,Random Ints,0.000004,Success
20,100000,Bubble Sort,Sorted Ints,0.000001,Success
20,100000,Selection Sort,Sorted Ints,0.000005,Success
20,100000,Insertion Sort,Sorted Ints,0.000001,Success
20,100000,Bubble Sort,Reverse Sorted,0.000011,Success
20,100000,Selection Sort,Reverse Sorted,0.000005,Success
20,100000,Insertion Sort,Reverse Sorted,0.000007,Success
20,100000,Bubble Sort,Almost Sorted,0.000003,Success
20,100000,Selection Sort,Almost Sorted,0.000005,Success
20,100000,Insertion Sort,Almost Sorted,0.000001,Success
20,100000,Bubble Sort,Half Sorted,0.000006,Success
20,100000,Selection Sort,Half Sorted,0.000006,Success
20,100000,Insertion Sort,Half Sorted,0.000002,Success
20,100000,Bubble Sort,Flat (Few Unique),0.000007,Success
20,100000,Selection Sort,Flat (Few Unique),0.000005,Success
20,100000,Insertion Sort,Flat (Few Unique),0.000004,Success
20,100000,Bubble Sort,Floats,0.000009,Success
20,100000,Selection Sort,Floats,0.000005,Success
20,100000,Insertion Sort,Floats,0.000004,Success
20,100000,Bubble Sort,Strings,0.000010,Success
20,100000,Selection Sort,Strings,0.000007,Success
20,100000,Insertion Sort,Strings,0.000005,Success
30,100000,Bubble Sort,Random Ints,0.000019,Success
30,100000,Selection Sort,Random Ints,0.000012,Success
30,100000,Insertion Sort,Random Ints,0.000009,Success
30,100000,Bubble Sort,Sorted Ints,0.000001,Success
30,100000,Selection Sort,Sorted Ints,0.000010,Success
30,100000,Insertion Sort,Sorted Ints,0.000001,Success
30,100000,Bubble Sort,Reverse Sorted,0.000023,Success
30,100000,Selection Sort,Reverse Sorted,0.000010,Success
30,100000,Insertion Sort,Reverse Sorted,0.000015,Success
30,100000,Bubble Sort,Almost Sorted,0.000006,Success
30,100000,Selection Sort,Almost Sorted,0.000010,Success
30,100000,Insertion Sort,Almost Sorted,0.000002,Success
30,100000,Bubble Sort,Half Sorted,0.000014,Success
30,100000,Selection Sort,Half Sorted,0.000011,Success
30,100000,Insertion Sort,Half Sorted,0.000005,Success
30,100000,Bubble Sort,Flat (Few Unique),0.000016,Success
30,100000,Selection Sort,Flat (Few Unique),0.000011,Success
30,100000,Insertion Sort,Flat (Few Unique),0.000007,Success
30,100000,Bubble Sort,Floats,0.000019,Success
30,100000,Selection Sort,Floats,0.000011,Success
30,100000,Insertion Sort,Floats,0.000009,Success
