Size,Iterations,Algorithm,Data Shape,Avg (ns),Avg (s),Std (ns),Min (ns),Max (ns),Status
20,100000,Timsort (built-in),Random Ints,466.2,0.000000466,66.9,333.0,8833.0,Success
20,100000,Timsort (custom),Random Ints,5886.2,0.000005886,774.5,3125.0,25666.0,Success
20,100000,Merge Sort,Random Ints,12189.0,0.000012189,550.2,10625.0,34041.0,Success
20,100000,Insertion Sort,Random Ints,5658.6,0.000005659,792.6,2584.0,21500.0,Success
20,100000,Quick Sort,Random Ints,12134.0,0.000012134,1129.2,8208.0,32250.0,Success
20,100000,Timsort (built-in),Sorted Ints,119.7,0.000000120,74.9,41.0,11458.0,Success
20,100000,Timsort (custom),Sorted Ints,1404.7,0.000001405,175.4,1250.0,15083.0,Success
20,100000,Merge Sort,Sorted Ints,10684.4,0.000010684,471.7,9458.0,29958.0,Success
20,100000,Insertion Sort,Sorted Ints,1122.3,0.000001122,155.8,1000.0,19417.0,Success
20,100000,Quick Sort,Sorted Ints,12477.9,0.000012478,1859.2,9041.0,55250.0,Success
20,100000,Timsort (built-in),Reverse Sorted,118.6,0.000000119,44.8,41.0,12208.0,Success
20,100000,Timsort (custom),Reverse Sorted,9861.0,0.000009861,472.4,8750.0,29208.0,Success
20,100000,Merge Sort,Reverse Sorted,11224.0,0.000011224,732.7,9875.0,32917.0,Success
20,100000,Insertion Sort,Reverse Sorted,9565.6,0.000009566,376.7,8500.0,30541.0,Success
20,100000,Quick Sort,Reverse Sorted,12459.3,0.000012459,1909.9,9458.0,51833.0,Success
20,100000,Timsort (built-in),Almost Sorted,267.5,0.000000267,134.4,83.0,12708.0,Success
20,100000,Timsort (custom),Almost Sorted,2131.4,0.000002131,486.9,1333.0,16333.0,Success
20,100000,Merge Sort,Almost Sorted,11210.2,0.000011210,514.4,9625.0,40292.0,Success
20,100000,Insertion Sort,Almost Sorted,1835.6,0.000001836,494.3,1000.0,20333.0,Success
20,100000,Quick Sort,Almost Sorted,12488.3,0.000012488,1882.7,9459.0,58291.0,Success
20,100000,Timsort (built-in),Half Sorted,322.5,0.000000322,81.0,208.0,12375.0,Success
20,100000,Timsort (custom),Half Sorted,3683.2,0.000003683,570.3,1791.0,20750.0,Success
20,100000,Merge Sort,Half Sorted,11784.3,0.000011784,519.2,10292.0,29958.0,Success
20,100000,Insertion Sort,Half Sorted,3335.5,0.000003336,558.3,1625.0,25792.0,Success
20,100000,Quick Sort,Half Sorted,10207.0,0.000010207,1161.7,6166.0,27625.0,Success
